filename,width,height,class,xmin,ymin,xmax,ymax
106.jpg,200,161,Left Leg,3,74,65,124
106.jpg,200,161,Right Leg,21,107,86,157
106.jpg,200,161,Left Arm,57,32,112,63
106.jpg,200,161,Right Arm,103,83,144,135
106.jpg,200,161,Left Hand,37,42,69,72
106.jpg,200,161,Right Hand,84,119,118,150
107.jpg,130,219,Hat,34,6,126,67
107.jpg,130,219,Face,49,49,104,87
107.jpg,130,219,Bodyprint,23,74,96,149
107.jpg,130,219,Left Leg,5,132,51,205
107.jpg,130,219,Right Leg,42,140,88,214
107.jpg,130,219,Right Arm,88,89,116,144
107.jpg,130,219,Right Hand,82,131,117,172
11.jpg,148,205,Hat,53,1,143,55
11.jpg,148,205,Bodyprint,34,60,107,130
11.jpg,148,205,Left Leg,12,117,57,194
11.jpg,148,205,Right Leg,46,127,91,204
11.jpg,148,205,Left Arm,19,61,58,107
11.jpg,148,205,Right Arm,101,80,126,138
11.jpg,148,205,Left Hand,6,95,37,126
11.jpg,148,205,Right Hand,93,127,127,162
110.jpg,138,213,Hat,44,3,136,59
110.jpg,138,213,Face,59,42,112,82
110.jpg,138,213,Left Leg,15,129,56,203
110.jpg,138,213,Right Leg,53,138,95,210
110.jpg,138,213,Left Arm,15,70,53,124
110.jpg,138,213,Right Arm,98,84,125,148
110.jpg,138,213,Left Hand,4,111,35,141
110.jpg,138,213,Right Hand,95,133,131,166
111.jpg,174,188,Hat,1,4,80,73
111.jpg,174,188,Face,28,34,77,81
111.jpg,174,188,Bodyprint,42,55,105,136
111.jpg,174,188,Left Leg,72,118,137,186
111.jpg,174,188,Right Leg,109,106,171,170
111.jpg,174,188,Right Arm,84,48,131,89
111.jpg,174,188,Right Hand,112,78,148,114
112.jpg,150,205,Hat,5,2,96,63
112.jpg,150,205,Bodyprint,39,71,113,138
112.jpg,150,205,Left Leg,54,135,109,202
112.jpg,150,205,Right Leg,92,126,145,193
112.jpg,150,205,Left Arm,20,83,51,137
112.jpg,150,205,Right Arm,88,61,136,112
112.jpg,150,205,Left Hand,17,124,57,159
112.jpg,150,205,Right Arm,109,98,147,135
114.jpg,134,208,Hat,8,1,103,52
114.jpg,134,208,Face,30,45,87,78
114.jpg,134,208,Bodyprint,31,69,97,134
114.jpg,134,208,Left Leg,33,133,75,203
114.jpg,134,208,Right Leg,66,132,114,200
114.jpg,134,208,Left Arm,10,77,37,128
114.jpg,134,208,Right Arm,84,67,123,121
114.jpg,134,208,Left Hand,3,119,36,151
114.jpg,134,208,Right Hand,98,111,131,148
115.jpg,130,170,No Head,34,4,67,40
115.jpg,130,170,Bodyprint,30,36,94,96
115.jpg,130,170,Left Leg,38,97,85,166
115.jpg,130,170,Right Leg,73,92,126,158
115.jpg,130,170,Left Arm,13,43,38,90
115.jpg,130,170,Right Arm,77,27,117,73
115.jpg,130,170,Left Hand,5,81,36,109
115.jpg,130,170,Right Hand,91,60,126,97
116.jpg,127,194,Face,57,19,104,65
116.jpg,127,194,Bodyprint,34,55,98,123
116.jpg,127,194,Left Leg,18,114,57,185
116.jpg,127,194,Right Leg,53,119,94,192
116.jpg,127,194,Left Arm,16,56,49,101
116.jpg,127,194,Right Arm,93,65,123,118
116.jpg,127,194,Left Hand,3,87,34,119
116.jpg,127,194,Right Hand,90,109,123,143
117.jpg,149,204,Hat,62,1,146,63
117.jpg,149,204,Face,71,39,119,83
117.jpg,149,204,Left Leg,5,115,52,188
117.jpg,149,204,Right Leg,40,125,85,201
117.jpg,149,204,Bodyprint,40,65,103,139
117.jpg,149,204,Left Arm,21,61,66,103
117.jpg,149,204,Right Arm,92,86,124,141
117.jpg,149,204,Left Hand,3,89,37,122
117.jpg,149,204,Right Hand,84,129,120,168
119.jpg,195,141,Hat,128,2,191,87
119.jpg,195,141,Face,110,26,151,78
119.jpg,195,141,Right Leg,4,84,66,138
119.jpg,195,141,Bodyprint,50,38,123,111
119.jpg,195,141,Left Arm,49,20,103,52
119.jpg,195,141,Right Arm,87,84,129,123
119.jpg,195,141,Left Arm,23,31,58,62
119.jpg,195,141,Right Arm,62,105,99,140
120.jpg,127,208,Hat,6,3,99,56
120.jpg,127,208,Face,30,44,84,81
120.jpg,127,208,Bodyprint,32,72,103,139
120.jpg,127,208,Left Leg,37,136,81,205
120.jpg,127,208,Right Leg,72,135,116,203
120.jpg,127,208,Left Arm,12,81,37,130
120.jpg,127,208,Right Arm,80,71,122,121
120.jpg,127,208,Left Hand,6,123,38,154
120.jpg,127,208,Right Hand,97,112,127,149
121.jpg,127,216,Hat,18,6,116,56
121.jpg,127,216,Face,36,46,90,83
121.jpg,127,216,Left Leg,17,137,57,210
121.jpg,127,216,Right Leg,54,141,95,211
121.jpg,127,216,Bodyprint,31,73,96,143
121.jpg,127,216,Left Arm,8,79,38,134
121.jpg,127,216,Right Arm,86,80,118,134
121.jpg,127,216,Right Hand,91,126,123,160
122.jpg,133,206,Hat,9,1,103,52
122.jpg,133,206,Face,30,43,89,76
122.jpg,133,206,Bodyprint,32,68,101,133
122.jpg,133,206,Left Leg,35,131,76,200
122.jpg,133,206,Right Leg,71,130,113,199
122.jpg,133,206,Left Arm,12,77,37,130
122.jpg,133,206,Right Arm,85,65,125,121
122.jpg,133,206,Left Hand,5,118,37,150
122.jpg,133,206,Right Hand,99,109,130,147
13.jpg,120,210,Hat,8,5,102,55
13.jpg,120,210,Face,31,47,82,81
13.jpg,120,210,Bodyprint,25,72,94,137
13.jpg,120,210,Left Leg,22,136,62,206
13.jpg,120,210,Right Leg,59,136,100,205
13.jpg,120,210,Left Arm,5,79,29,133
13.jpg,120,210,Right Arm,81,74,116,130
14.jpg,131,209,Hat,15,4,111,54
14.jpg,131,209,Face,36,47,92,81
14.jpg,131,209,Bodyprint,33,70,101,137
14.jpg,131,209,Left Leg,29,137,68,204
14.jpg,131,209,Right Leg,64,137,104,206
14.jpg,131,209,Left Arm,10,77,38,129
14.jpg,131,209,Right Arm,86,75,124,128
14.jpg,131,209,Left Hand,3,117,35,150
14.jpg,131,209,Right Hand,95,115,127,153
16.jpg,126,207,Hat,20,3,115,52
16.jpg,126,207,Face,43,43,95,77
16.jpg,126,207,Bodyprint,37,69,101,137
16.jpg,126,207,Left Leg,32,127,74,199
16.jpg,126,207,Right Leg,68,133,112,204
16.jpg,126,207,Left Arm,18,73,48,123
16.jpg,126,207,Right Arm,86,75,122,130
16.jpg,126,207,Left Hand,1,110,34,142
16.jpg,126,207,Right Hand,91,120,122,158
17.jpg,126,191,Face,59,14,106,65
17.jpg,126,191,Bodyprint,34,52,98,122
17.jpg,126,191,Left Leg,18,109,58,183
17.jpg,126,191,Right Leg,52,116,96,190
17.jpg,126,191,Left Arm,17,54,51,99
17.jpg,126,191,Right Arm,93,66,122,119
17.jpg,126,191,Left Hand,3,87,34,116
17.jpg,126,191,Right Hand,92,108,120,141
18.jpg,138,189,Face,8,10,58,58
18.jpg,138,189,Bodyprint,22,57,97,119
18.jpg,138,189,Left Leg,41,115,101,184
18.jpg,138,189,Right Leg,81,106,133,170
18.jpg,138,189,Left Arm,11,70,38,118
18.jpg,138,189,Right Arm,68,41,111,85
18.jpg,138,189,Left Hand,9,108,42,140
18.jpg,138,189,Right Hand,94,74,126,109
19.jpg,124,174,No Head,63,6,97,45
19.jpg,124,174,Bodyprint,34,33,95,100
19.jpg,124,174,Left Leg,6,89,51,162
19.jpg,124,174,Right Leg,44,97,88,171
19.jpg,124,174,Left Arm,16,30,51,72
19.jpg,124,174,Right Arm,91,47,120,100
19.jpg,124,174,Left Hand,5,60,36,91
19.jpg,124,174,Right Hand,89,89,119,121
2.jpg,188,125,Face,130,6,182,62
2.jpg,188,125,Bodyprint,71,23,141,92
2.jpg,188,125,Left Leg,4,39,72,91
2.jpg,188,125,Right Leg,19,74,83,122
2.jpg,188,125,Left Arm,74,5,122,37
2.jpg,188,125,Right Arm,101,67,145,109
2.jpg,188,125,Left Hand,52,10,84,41
2.jpg,188,125,Right Hand,82,93,113,123
20.jpg,182,194,Hat,5,120,74,190
20.jpg,182,194,Bodyprint,49,64,120,143
20.jpg,182,194,Left Leg,119,30,179,97
20.jpg,182,194,Right Leg,90,3,150,71
20.jpg,182,194,Left Arm,90,111,132,151
20.jpg,182,194,Right Arm,41,56,71,111
20.jpg,182,194,Left Hand,120,106,155,138
20.jpg,182,194,Right Hand,56,35,86,70
20.jpg,182,194,Face,24,118,73,167
21.jpg,154,193,Hat,5,1,92,71
21.jpg,154,193,Face,29,35,79,78
21.jpg,154,193,Bodyprint,45,55,116,134
21.jpg,154,193,Left Leg,75,125,137,191
21.jpg,154,193,Left Arm,36,84,69,135
21.jpg,154,193,Right Arm,87,48,137,88
21.jpg,154,193,Left Hand,44,122,80,158
21.jpg,154,193,Right Hand,122,72,154,114
22.jpg,144,187,Bodyprint,21,51,97,121
22.jpg,144,187,Left Leg,43,113,105,183
22.jpg,144,187,Right Leg,88,103,138,170
22.jpg,144,187,Right Arm,65,42,110,82
22.jpg,144,187,Right Hand,94,69,136,106
23.jpg,133,204,Hat,40,2,129,55
23.jpg,133,204,Face,56,42,108,78
23.jpg,133,204,Bodyprint,35,65,99,138
23.jpg,133,204,Left Leg,19,124,58,195
23.jpg,133,204,Right Leg,55,135,99,204
23.jpg,133,204,Left Arm,17,67,53,112
23.jpg,133,204,Right Arm,95,80,124,134
23.jpg,133,204,Left Hand,3,103,35,132
23.jpg,133,204,Right Hand,93,124,122,158
24.jpg,179,191,Hat,4,4,78,72
24.jpg,179,191,Face,29,32,76,79
24.jpg,179,191,Bodyprint,45,62,124,130
24.jpg,179,191,Left Arm,36,87,75,135
24.jpg,179,191,Right Arm,84,47,135,87
24.jpg,179,191,Left Hand,44,125,78,159
24.jpg,179,191,Right Hand,120,69,154,109
24.jpg,179,191,Left Leg,82,117,144,189
24.jpg,179,191,Right Leg,110,101,174,168
26.jpg,131,209,Hat,20,5,118,58
26.jpg,131,209,Face,39,47,96,83
26.jpg,131,209,Bodyprint,28,69,99,142
26.jpg,131,209,Right Leg,59,137,98,207
26.jpg,131,209,Left Arm,11,75,43,125
26.jpg,131,209,Right Arm,89,79,124,134
26.jpg,131,209,Left Hand,5,115,31,154
26.jpg,131,209,Right Hand,96,123,127,158
28.jpg,205,165,Hat,3,9,71,84
28.jpg,205,165,Face,26,28,78,79
28.jpg,205,165,Left Leg,100,107,177,164
28.jpg,205,165,Right Leg,118,76,200,136
28.jpg,205,165,Left Arm,51,86,87,134
28.jpg,205,165,Right Arm,85,33,137,69
28.jpg,205,165,Left Hand,72,120,106,160
28.jpg,205,165,Right Hand,127,45,166,84
29.jpg,126,206,Hat,8,3,101,58
29.jpg,126,206,Face,29,48,86,80
29.jpg,126,206,Left Leg,27,132,68,201
29.jpg,126,206,Bodyprint,27,69,98,136
29.jpg,126,206,Left Arm,8,78,34,125
29.jpg,126,206,Right Arm,81,72,118,123
29.jpg,126,206,Left Hand,4,116,32,152
29.jpg,126,206,Right Hand,94,111,122,148
31.jpg,201,172,Hat,127,5,200,83
31.jpg,201,172,Face,119,27,173,86
31.jpg,201,172,Left Leg,5,80,72,143
31.jpg,201,172,Right Leg,32,115,94,171
31.jpg,201,172,Bodyprint,61,53,147,128
31.jpg,201,172,Left Arm,54,39,111,72
31.jpg,201,172,Right Arm,111,90,151,133
31.jpg,201,172,Right Hand,94,122,127,157
33.jpg,152,188,Bodyprint,49,53,121,116
33.jpg,152,188,Left Leg,7,92,57,164
33.jpg,152,188,Right Leg,37,120,93,186
33.jpg,152,188,Left Arm,47,41,80,73
33.jpg,152,188,Right Arm,111,78,137,122
34.jpg,148,197,Hat,4,3,100,61
34.jpg,148,197,Face,29,40,85,79
34.jpg,148,197,Bodyprint,44,73,112,135
34.jpg,148,197,Right Leg,86,126,143,194
34.jpg,148,197,Left Arm,23,83,48,130
34.jpg,148,197,Right Arm,84,63,135,113
34.jpg,148,197,Left Hand,12,119,42,151
34.jpg,148,197,Right Hand,110,101,143,138
35.jpg,147,212,Hat,56,4,144,64
35.jpg,147,212,Face,66,42,120,84
35.jpg,147,212,Bodyprint,36,77,108,141
35.jpg,147,212,Left Leg,10,126,53,198
35.jpg,147,212,Right Leg,43,140,91,209
35.jpg,147,212,Left Arm,19,68,61,113
35.jpg,147,212,Right Arm,102,88,126,144
35.jpg,147,212,Left Hand,6,100,39,131
35.jpg,147,212,Right Hand,93,134,126,170
36.jpg,128,195,Face,17,11,69,60
36.jpg,128,195,Bodyprint,25,58,97,121
36.jpg,128,195,Left Leg,36,120,89,191
36.jpg,128,195,Right Leg,71,115,124,181
36.jpg,128,195,Left Arm,13,71,33,119
36.jpg,128,195,Right Arm,73,50,113,97
36.jpg,128,195,Left Hand,5,108,37,140
36.jpg,128,195,Right Hand,92,85,124,120
37.jpg,128,179,No Head,42,6,73,42
37.jpg,128,179,Bodyprint,30,34,95,99
37.jpg,128,179,Left Leg,30,97,70,171
37.jpg,128,179,Right Leg,67,94,106,170
37.jpg,128,179,Left Arm,10,42,32,86
37.jpg,128,179,Right Arm,83,33,119,84
37.jpg,128,179,Left Hand,3,78,32,107
37.jpg,128,179,Right Hand,95,74,126,105
38.jpg,155,192,Hat,3,3,91,72
38.jpg,155,192,Face,30,36,81,79
38.jpg,155,192,Bodyprint,44,61,117,132
38.jpg,155,192,Left Leg,72,125,134,190
38.jpg,155,192,Left Arm,37,85,65,134
38.jpg,155,192,Right Arm,88,46,136,91
38.jpg,155,192,Left Hand,44,123,80,156
38.jpg,155,192,Right Hand,119,72,155,112
40.jpg,214,130,Hat,1,5,53,98
40.jpg,214,130,Face,30,27,70,80
40.jpg,214,130,Bodyprint,72,24,131,96
40.jpg,214,130,Left Leg,130,61,203,105
40.jpg,214,130,Right Leg,133,21,205,65
40.jpg,214,130,Left Arm,70,77,118,113
40.jpg,214,130,Left Hand,107,94,137,124
41.jpg,137,174,No Head,16,8,48,45
41.jpg,137,174,Bodyprint,17,30,91,99
41.jpg,137,174,Left Leg,37,95,97,169
41.jpg,137,174,Right Leg,73,87,132,156
41.jpg,137,174,Left Arm,6,53,30,99
41.jpg,137,174,Right Arm,64,24,108,65
41.jpg,137,174,Left Hand,6,91,36,120
41.jpg,137,174,Right Hand,87,53,123,87
42.jpg,141,204,Hat,5,3,98,58
42.jpg,141,204,Face,32,38,84,79
42.jpg,141,204,Left Leg,47,132,100,203
42.jpg,141,204,Right Leg,86,126,134,194
42.jpg,141,204,Left Arm,20,83,44,134
42.jpg,141,204,Right Arm,85,64,129,116
42.jpg,141,204,Left Hand,13,126,48,157
42.jpg,141,204,Right Hand,109,103,141,143
43.jpg,154,204,Hat,4,2,92,64
43.jpg,154,204,Bodyprint,34,71,111,134
43.jpg,154,204,Left Leg,60,134,115,200
43.jpg,154,204,Right Leg,95,122,149,189
43.jpg,154,204,Left Arm,30,85,53,138
43.jpg,154,204,Right Arm,89,61,133,103
43.jpg,154,204,Left Hand,26,128,59,159
43.jpg,154,204,Right Hand,113,91,145,130
44.jpg,162,136,No Head,122,9,158,48
44.jpg,162,136,Bodyprint,70,18,141,85
44.jpg,162,136,Left Leg,5,40,76,102
44.jpg,162,136,Right Leg,25,76,90,133
44.jpg,162,136,Left Arm,67,6,115,34
44.jpg,162,136,Right Arm,106,60,146,100
44.jpg,162,136,Left Hand,47,13,77,42
44.jpg,162,136,Right Hand,91,89,120,118
45.jpg,124,216,Hat,19,4,112,53
45.jpg,124,216,Face,36,42,90,81
45.jpg,124,216,Bodyprint,29,72,94,140
45.jpg,124,216,Left Leg,20,135,56,207
45.jpg,124,216,Right Leg,55,136,92,210
45.jpg,124,216,Left Arm,7,77,37,132
45.jpg,124,216,Right Arm,85,78,116,132
45.jpg,124,216,Right Hand,91,124,120,159
46.jpg,128,203,Hat,28,5,122,63
46.jpg,128,203,Face,45,45,99,84
46.jpg,128,203,Bodyprint,30,69,93,140
46.jpg,128,203,Left Leg,13,130,54,196
46.jpg,128,203,Left Arm,10,72,43,119
46.jpg,128,203,Right Arm,88,82,120,136
46.jpg,128,203,Left Hand,4,106,32,139
46.jpg,128,203,Right Hand,88,123,120,156
49.jpg,134,204,Hat,22,1,117,48
49.jpg,134,204,Bodyprint,32,67,102,133
49.jpg,134,204,Left Leg,29,129,65,200
49.jpg,134,204,Right Leg,64,133,103,200
49.jpg,134,204,Left Arm,12,70,43,122
49.jpg,134,204,Right Arm,92,70,123,126
49.jpg,134,204,Left Hand,4,110,35,141
49.jpg,134,204,Right Hand,96,113,130,152
5.jpg,179,191,Left Hand,47,128,82,160
5.jpg,179,191,Right Hand,121,75,157,111
5.jpg,179,191,Face,28,32,78,80
5.jpg,179,191,Hat,3,5,80,73
5.jpg,179,191,Bodyprint,45,59,132,137
5.jpg,179,191,Left Arm,41,88,71,137
5.jpg,179,191,Right Arm,86,49,139,91
5.jpg,179,191,Left Leg,78,116,148,191
5.jpg,179,191,Right Leg,106,95,177,169
50.jpg,130,190,Face,21,4,73,63
50.jpg,130,190,Left Hand,6,105,39,136
50.jpg,130,190,Right Hand,95,86,130,122
50.jpg,130,190,Bodyprint,26,53,103,121
50.jpg,130,190,Left Arm,13,65,37,116
50.jpg,130,190,Right Arm,75,50,117,98
50.jpg,130,190,Left Leg,37,113,88,189
50.jpg,130,190,Right Leg,71,106,123,182
51.jpg,129,173,No Head,48,7,76,42
51.jpg,129,173,Bodyprint,31,35,100,98
51.jpg,129,173,Left Arm,13,40,44,90
51.jpg,129,173,Right Arm,83,37,121,87
51.jpg,129,173,Left Hand,4,77,36,105
51.jpg,129,173,Right Hand,92,76,126,107
51.jpg,129,173,Left Leg,31,92,71,169
51.jpg,129,173,Right Leg,62,92,107,169
53.jpg,158,125,No Head,7,4,42,39
53.jpg,158,125,Right Arm,52,5,108,42
53.jpg,158,125,Left Arm,13,51,45,101
53.jpg,158,125,Right Hand,93,23,127,63
53.jpg,158,125,Bodyprint,15,14,100,95
53.jpg,158,125,Right Leg,79,48,155,121
54.jpg,149,217,Left Hand,5,103,37,139
54.jpg,149,217,Hat,51,1,143,65
54.jpg,149,217,Face,61,40,122,86
54.jpg,149,217,Left Arm,16,69,60,118
54.jpg,149,217,Bodyprint,29,72,111,149
54.jpg,149,217,Left Leg,9,122,59,202
54.jpg,149,217,Right Leg,42,137,97,213
55.jpg,140,202,Hat,6,3,90,62
55.jpg,140,202,Left Arm,23,82,51,132
55.jpg,140,202,Right Arm,82,61,127,104
55.jpg,140,202,Left Hand,23,122,56,156
55.jpg,140,202,Right Hand,103,93,136,126
55.jpg,140,202,Bodyprint,35,69,113,139
55.jpg,140,202,Left Leg,52,128,106,201
56.jpg,158,207,Left Hand,30,130,64,164
56.jpg,158,207,Right Hand,112,97,154,135
56.jpg,158,207,Hat,4,3,96,65
56.jpg,158,207,Face,30,35,87,81
56.jpg,158,207,Left Arm,25,86,53,139
56.jpg,158,207,Right Arm,83,60,134,110
56.jpg,158,207,Left Leg,58,129,119,205
56.jpg,158,207,Right Leg,91,115,155,191
58.jpg,210,133,Hat,1,42,53,133
58.jpg,210,133,Face,26,56,73,111
58.jpg,210,133,Left Arm,77,94,133,120
58.jpg,210,133,Left Hand,119,94,152,127
58.jpg,210,133,Right Hand,99,4,133,35
58.jpg,210,133,Bodyprint,61,29,140,103
58.jpg,210,133,Left Leg,118,43,208,94
58.jpg,210,133,Right Leg,117,6,199,58
58.jpg,210,133,Right Arm,63,12,109,55
59.jpg,168,197,Face,87,37,138,84
59.jpg,168,197,Hat,84,3,168,73
59.jpg,168,197,Left Hand,16,83,51,118
59.jpg,168,197,Left Arm,28,54,87,101
59.jpg,168,197,Right Arm,106,85,134,146
59.jpg,168,197,Bodyprint,40,64,124,142
59.jpg,168,197,Left Leg,6,109,66,178
59.jpg,168,197,Right Leg,36,125,98,197
6.jpg,125,208,Face,25,42,81,79
6.jpg,125,208,Hat,5,2,99,51
6.jpg,125,208,Left Arm,6,78,33,134
6.jpg,125,208,Right Arm,74,71,117,125
6.jpg,125,208,Left Leg,26,133,72,205
6.jpg,125,208,Right Leg,59,128,107,202
6.jpg,125,208,Left Hand,3,127,30,153
6.jpg,125,208,Right Hand,91,118,123,149
60.jpg,126,192,Face,63,4,114,66
60.jpg,126,192,Bodyprint,31,52,105,126
60.jpg,126,192,Left Arm,18,49,60,93
60.jpg,126,192,Left Hand,6,80,39,110
60.jpg,126,192,Right Hand,88,114,120,146
60.jpg,126,192,Right Arm,95,68,119,124
60.jpg,126,192,Left Leg,5,104,61,177
60.jpg,126,192,Right Leg,40,115,91,190
63.jpg,136,206,Bodyprint,32,75,108,134
63.jpg,136,206,Left Arm,12,74,44,126
63.jpg,136,206,Right Arm,88,73,126,124
63.jpg,136,206,Left Hand,5,117,39,148
63.jpg,136,206,Right Hand,100,117,132,151
63.jpg,136,206,Hat,17,1,114,52
63.jpg,136,206,Left Leg,32,131,73,201
63.jpg,136,206,Right Leg,68,131,109,202
64.jpg,142,201,Left Hand,4,93,36,125
64.jpg,142,201,Right Hand,86,130,119,164
64.jpg,142,201,Hat,53,1,139,61
64.jpg,142,201,Face,65,41,117,82
64.jpg,142,201,Left Arm,16,61,61,110
64.jpg,142,201,Right Arm,93,81,122,138
64.jpg,142,201,Bodyprint,31,66,106,141
64.jpg,142,201,Left Leg,8,115,62,188
64.jpg,142,201,Right Leg,41,126,95,201
65.jpg,129,202,Hat,8,2,106,51
65.jpg,129,202,Face,32,39,86,79
65.jpg,129,202,Left Hand,3,116,36,153
65.jpg,129,202,Left Arm,8,75,38,129
65.jpg,129,202,Right Hand,94,117,128,154
65.jpg,129,202,Right Arm,79,69,123,127
65.jpg,129,202,Left Leg,27,132,74,202
65.jpg,129,202,Right Leg,65,131,110,201
66.jpg,136,209,Left Hand,5,105,38,138
66.jpg,136,209,Right Hand,93,129,126,164
66.jpg,136,209,Face,57,45,108,82
66.jpg,136,209,Hat,41,3,134,57
66.jpg,136,209,Left Arm,15,69,56,121
66.jpg,136,209,Right Arm,95,81,125,139
66.jpg,136,209,Bodyprint,35,75,107,145
66.jpg,136,209,Left Leg,17,125,65,199
66.jpg,136,209,Right Leg,51,133,101,209
67.jpg,148,166,Left Hand,9,101,45,132
67.jpg,148,166,Right Hand,95,64,132,102
67.jpg,148,166,Left Arm,14,68,41,112
67.jpg,148,166,Right Arm,62,37,118,79
67.jpg,148,166,Right Leg,78,89,143,164
67.jpg,148,166,Bodyprint,21,46,105,121
69.jpg,143,197,Right Hand,89,131,121,164
69.jpg,143,197,Left Hand,6,100,34,136
69.jpg,143,197,Hat,49,4,139,66
69.jpg,143,197,Face,60,44,115,87
69.jpg,143,197,Left Arm,15,67,61,112
69.jpg,143,197,Right Arm,96,85,123,139
69.jpg,143,197,Left Leg,6,121,57,193
69.jpg,143,197,Bodyprint,27,73,107,146
70.jpg,142,214,Hat,3,4,94,59
70.jpg,142,214,Left Arm,17,86,43,130
70.jpg,142,214,Right Hand,101,101,138,132
70.jpg,142,214,Right Arm,82,67,124,114
70.jpg,142,214,Bodyprint,30,71,109,146
70.jpg,142,214,Left Leg,41,139,92,211
70.jpg,142,214,Right Leg,75,128,131,201
71.jpg,164,194,Left Hand,14,79,48,111
71.jpg,164,194,Right Hand,90,131,121,166
71.jpg,164,194,Left Arm,31,52,81,94
71.jpg,164,194,Right Arm,100,84,133,141
71.jpg,164,194,Hat,80,1,161,72
71.jpg,164,194,Face,83,32,140,83
71.jpg,164,194,Left Leg,7,101,67,175
71.jpg,164,194,Right Leg,36,120,97,194
73.jpg,132,176,No Head,36,10,67,47
73.jpg,132,176,Left Hand,7,87,37,116
73.jpg,132,176,Right Hand,96,74,130,105
73.jpg,132,176,Left Arm,12,48,36,95
73.jpg,132,176,Right Arm,77,35,120,82
73.jpg,132,176,Bodyprint,25,37,103,105
73.jpg,132,176,Left Leg,32,99,82,174
73.jpg,132,176,Right Leg,66,91,119,169
74.jpg,132,186,Face,20,4,75,60
74.jpg,132,186,Bodyprint,24,50,100,121
74.jpg,132,186,Left Arm,13,67,43,116
74.jpg,132,186,Left Hand,7,106,38,135
74.jpg,132,186,Right Hand,93,84,124,116
74.jpg,132,186,Right Arm,69,50,117,93
74.jpg,132,186,Left Leg,37,112,89,184
74.jpg,132,186,Right Leg,71,103,129,177
76.jpg,136,210,Hat,43,2,134,62
76.jpg,136,210,Face,59,45,113,85
76.jpg,136,210,Left Hand,4,106,37,140
76.jpg,136,210,Left Arm,15,70,56,120
76.jpg,136,210,Bodyprint,30,74,107,147
76.jpg,136,210,Left Leg,15,126,64,202
76.jpg,136,210,Right Leg,50,136,99,210
78.jpg,127,202,Hat,4,1,94,53
78.jpg,127,202,Face,29,38,83,77
78.jpg,127,202,Bodyprint,29,71,104,137
78.jpg,127,202,Left Hand,6,122,37,153
78.jpg,127,202,Right Hand,97,109,126,144
78.jpg,127,202,Left Arm,12,78,37,131
78.jpg,127,202,Right Arm,78,68,119,115
78.jpg,127,202,Left Leg,35,132,82,201
78.jpg,127,202,Right Leg,70,128,119,197
79.jpg,156,193,Hat,1,3,87,66
79.jpg,156,193,Face,25,38,84,79
79.jpg,156,193,Bodyprint,36,64,113,135
79.jpg,156,193,Right Arm,79,60,123,101
79.jpg,156,193,Right Hand,100,92,138,128
79.jpg,156,193,Left Leg,56,125,117,193
79.jpg,156,193,Right Leg,92,116,153,185
8.jpg,132,210,Left Hand,2,107,34,138
